run	1788475594.0325	-	START
case	1788475803.2868	-	11b.shim-with-trailing-args-fails
sandbox.hooks	1788475803.3031	1788475803.3996	copy-hooks
sandbox.root	1788475803.3996	1788475803.5233	copy-root-scripts
sandbox.settings	1788475803.5233	1788475803.5480	write-config-and-settings
sandbox.sidecars	1788475803.5480	1788475804.4660	gen-sidecars
sandbox	1788475803.3031	1788475804.4660	TOTAL
case	1788475815.9876	-	12.canonical-fresh-clone-passes
sandbox.hooks	1788475816.0039	1788475816.1048	copy-hooks
sandbox.root	1788475816.1048	1788475816.2298	copy-root-scripts
sandbox.settings	1788475816.2298	1788475816.2552	write-config-and-settings
sandbox.sidecars	1788475816.2552	1788475817.0975	gen-sidecars
sandbox	1788475816.0039	1788475817.0975	TOTAL
case	1788475827.9260	-	13.tamper-canonical-guard-fails
sandbox.hooks	1788475827.9415	1788475828.0383	copy-hooks
sandbox.root	1788475828.0383	1788475828.1616	copy-root-scripts
sandbox.settings	1788475828.1616	1788475828.1869	write-config-and-settings
sandbox.sidecars	1788475828.1869	1788475829.1144	gen-sidecars
sandbox	1788475827.9415	1788475829.1144	TOTAL
case	1788475839.8991	-	14.tamper-canonical-agent-fails
sandbox.hooks	1788475839.9147	1788475840.0072	copy-hooks
sandbox.root	1788475840.0072	1788475840.1251	copy-root-scripts
sandbox.settings	1788475840.1251	1788475840.1494	write-config-and-settings
sandbox.sidecars	1788475840.1494	1788475841.0597	gen-sidecars
sandbox	1788475839.9147	1788475841.0597	TOTAL
case	1788475851.9651	-	14a.tamper-guard-worktree-isolation-fails
sandbox.hooks	1788475851.9801	1788475852.0749	copy-hooks
sandbox.root	1788475852.0749	1788475852.1950	copy-root-scripts
sandbox.settings	1788475852.1950	1788475852.2200	write-config-and-settings
sandbox.sidecars	1788475852.2200	1788475853.1492	gen-sidecars
sandbox	1788475851.9801	1788475853.1492	TOTAL
case	1788475863.8295	-	14b.tamper-reader-teammate-hint-fails
sandbox.hooks	1788475863.8443	1788475863.9408	copy-hooks
sandbox.root	1788475863.9408	1788475864.0623	copy-root-scripts
sandbox.settings	1788475864.0623	1788475864.0866	write-config-and-settings
sandbox.sidecars	1788475864.0866	1788475864.9349	gen-sidecars
sandbox	1788475863.8443	1788475864.9349	TOTAL
case	1788475874.9897	-	14c.chain-entry-missing-fails
sandbox.hooks	1788475875.0066	1788475875.1078	copy-hooks
sandbox.root	1788475875.1078	1788475875.2300	copy-root-scripts
sandbox.settings	1788475875.2300	1788475875.2546	write-config-and-settings
sandbox.sidecars	1788475875.2546	1788475876.1032	gen-sidecars
sandbox	1788475875.0066	1788475876.1032	TOTAL
case	1788475886.7924	-	14d.chain-out-of-order-fails
sandbox.hooks	1788475886.8085	1788475886.8991	copy-hooks
sandbox.root	1788475886.8991	1788475887.0140	copy-root-scripts
sandbox.settings	1788475887.0140	1788475887.0397	write-config-and-settings
sandbox.sidecars	1788475887.0397	1788475887.8735	gen-sidecars
sandbox	1788475886.8085	1788475887.8735	TOTAL
case	1788475898.7319	-	15.inline-shim-replace-fails
sandbox.hooks	1788475898.7467	1788475898.8368	copy-hooks
sandbox.root	1788475898.8368	1788475898.9536	copy-root-scripts
sandbox.settings	1788475898.9536	1788475898.9780	write-config-and-settings
sandbox.sidecars	1788475898.9780	1788475899.8206	gen-sidecars
sandbox	1788475898.7467	1788475899.8206	TOTAL
case	1788475911.0248	-	16.manifest-missing-fails
sandbox.hooks	1788475911.0393	1788475911.1292	copy-hooks
sandbox.root	1788475911.1292	1788475911.2443	copy-root-scripts
sandbox.settings	1788475911.2443	1788475911.2690	write-config-and-settings
