run	1788475594.0325	-	START
sandbox.root	1788476679.9016	1788476680.0350	copy-root-scripts
sandbox.settings	1788476680.0350	1788476680.0620	write-config-and-settings
sandbox.sidecars	1788476680.0620	1788476680.9760	gen-sidecars
sandbox	1788476679.7970	1788476680.9760	TOTAL
case	1788476691.9727	-	IL3.replaced-analyzer-fails-on-the-hash
sandbox.hooks	1788476691.9905	1788476692.0950	copy-hooks
sandbox.root	1788476692.0950	1788476692.2241	copy-root-scripts
sandbox.settings	1788476692.2241	1788476692.2505	write-config-and-settings
sandbox.sidecars	1788476692.2505	1788476693.5234	gen-sidecars
sandbox	1788476691.9905	1788476693.5234	TOTAL
case	1788476704.6413	-	IL4.gutted-gate-fails-despite-matching-hash
sandbox.hooks	1788476704.6598	1788476704.7590	copy-hooks
sandbox.root	1788476704.7590	1788476704.8876	copy-root-scripts
sandbox.settings	1788476704.8876	1788476704.9157	write-config-and-settings
sandbox.sidecars	1788476704.9157	1788476705.8971	gen-sidecars
sandbox	1788476704.6598	1788476705.8971	TOTAL
case	1788476717.0970	-	IL5.gate-that-refuses-everything-fails-despite-matching-hash
case	1788476726.1808	-	IL6.idle-land-gate-suite-passes
case	1788476891.3771	-	IL7.idle-land-mutations-all-load-bearing
case	1788476896.9057	-	CL1.claim-gate-suite-passes
case	1788477008.1871	-	CL2.claim-gate-mutations-all-load-bearing
case	1788477054.1957	-	RI1.resume-isolation-suite-passes
case	1788477124.5014	-	RI2.resume-isolation-mutations-all-load-bearing
case	1788477551.6202	-	IN2.inflight-notify-mutations-all-load-bearing
case	1788477601.5502	-	WTR1.worktree-removal-mutations-all-load-bearing
sandbox.hooks	1788477601.5559	1788477601.6549	copy-hooks
sandbox.root	1788477601.6549	1788477601.7805	copy-root-scripts
sandbox.settings	1788477601.7805	1788477601.8061	write-config-and-settings
sandbox.sidecars	1788477601.8061	1788477602.6761	gen-sidecars
sandbox	1788477601.5559	1788477602.6761	TOTAL
case	1788477613.5549	-	MT1.model-tiers-undeclared-fails
case	1788477613.5620	-	MT1b.the-refusal-names-the-blank-declaration
sandbox.hooks	1788477613.5776	1788477613.6701	copy-hooks
sandbox.root	1788477613.6701	1788477613.7902	copy-root-scripts
sandbox.settings	1788477613.7902	1788477613.8160	write-config-and-settings
sandbox.sidecars	1788477613.8160	1788477614.6765	gen-sidecars
sandbox	1788477613.5776	1788477614.6765	TOTAL
case	1788477625.5063	-	MT2.model-tiers-alias-set-drifts-from-allowed-models-fails
case	1788477625.5137	-	MT2b.the-refusal-names-the-unranked-alias
sandbox.hooks	1788477625.5293	1788477625.6215	copy-hooks
sandbox.root	1788477625.6215	1788477625.7425	copy-root-scripts
sandbox.settings	1788477625.7425	1788477625.7717	write-config-and-settings
sandbox.sidecars	1788477625.7717	1788477626.6644	gen-sidecars
sandbox	1788477625.5293	1788477626.6644	TOTAL
case	1788477637.4049	-	MT3.doctrine-quotes-a-different-order-fails
case	1788477637.4122	-	MT3b.the-refusal-names-both-orders
sandbox.hooks	1788477637.4280	1788477637.5236	copy-hooks
sandbox.root	1788477637.5236	1788477637.6410	copy-root-scripts
sandbox.settings	1788477637.6410	1788477637.6666	write-config-and-settings
sandbox.sidecars	1788477637.6666	1788477638.5223	gen-sidecars
sandbox	1788477637.4280	1788477638.5223	TOTAL
case	1788477649.5823	-	MT4.doctrine-says-downgrade-without-quoting-the-data-fails
case	1788477649.5900	-	MT4b.the-refusal-names-the-missing-quotation
sandbox.hooks	1788477649.6073	1788477649.7056	copy-hooks
sandbox.root	1788477649.7056	1788477649.8290	copy-root-scripts
sandbox.settings	1788477649.8290	1788477649.8544	write-config-and-settings
sandbox.sidecars	1788477649.8544	1788477650.7087	gen-sidecars
sandbox	1788477649.6073	1788477650.7087	TOTAL
case	1788477662.1829	-	MT5.control-declared-and-quoted-passes-the-layer
sandbox.hooks	1788477662.1989	1788477662.2968	copy-hooks
sandbox.root	1788477662.2968	1788477662.4211	copy-root-scripts
sandbox.settings	1788477662.4211	1788477662.4460	write-config-and-settings
sandbox.sidecars	1788477662.4460	1788477663.3223	gen-sidecars
sandbox	1788477662.1989	1788477663.3223	TOTAL
case	1788477674.2438	-	MC1.no-ceiling-declared-warns-and-does-not-fail
case	1788477674.2511	-	MC1b.the-warning-names-the-missing-declaration
sandbox.hooks	1788477674.2658	1788477674.3568	copy-hooks
sandbox.root	1788477674.3568	1788477674.4776	copy-root-scripts
sandbox.settings	1788477674.4776	1788477674.5029	write-config-and-settings
sandbox.sidecars	1788477674.5029	1788477675.4438	gen-sidecars
sandbox	1788477674.2658	1788477675.4438	TOTAL
case	1788477686.3141	-	MC2.unrankable-ceiling-fails
case	1788477686.3214	-	MC2b.the-refusal-names-the-unrankable-ceiling
sandbox.hooks	1788477686.3371	1788477686.4281	copy-hooks
sandbox.root	1788477686.4281	1788477686.5442	copy-root-scripts
sandbox.settings	1788477686.5442	1788477686.5693	write-config-and-settings
sandbox.sidecars	1788477686.5693	1788477687.4324	gen-sidecars
sandbox	1788477686.3371	1788477687.4324	TOTAL
case	1788477698.4979	-	MC3.doctrine-quotes-a-different-ceiling-fails
case	1788477698.5051	-	MC3b.the-refusal-names-both-ceilings
sandbox.hooks	1788477698.5210	1788477698.6190	copy-hooks
sandbox.root	1788477698.6190	1788477698.7411	copy-root-scripts
sandbox.settings	1788477698.7411	1788477698.7667	write-config-and-settings
sandbox.sidecars	1788477698.7667	1788477699.6225	gen-sidecars
sandbox	1788477698.5210	1788477699.6225	TOTAL
case	1788477710.8890	-	MC4.dead-ceiling-guard-is-caught
case	1788477710.8962	-	MC4b.the-refusal-says-the-guard-did-not-refuse
sandbox.hooks	1788477710.9123	1788477711.0042	copy-hooks
sandbox.root	1788477711.0042	1788477711.1232	copy-root-scripts
sandbox.settings	1788477711.1232	1788477711.1491	write-config-and-settings
sandbox.sidecars	1788477711.1491	1788477712.0148	gen-sidecars
sandbox	1788477710.9123	1788477712.0148	TOTAL
case	1788477723.1963	-	MC5.control-declared-and-quoted-passes-the-layer
case	1788477904.2099	-	MC6.model-ceiling-mutations-all-load-bearing
case	1788478534.2375	-	WTI1.staffing-gate-mutations-all-load-bearing
case	1788478740.0490	-	MF1.mechanical-findings-mutations-all-load-bearing
case	1788478745.9224	-	SA1.stated-actions-gate-suite-passes
case	1788478947.9555	-	SA2.stated-actions-mutations-all-load-bearing
run	1788478947.9646	-	END
