run	1788482258.0491	-	START
case	1788482468.6412	-	11b.shim-with-trailing-args-fails
sandbox.hooks	1788482468.6574	1788482468.7547	copy-hooks
sandbox.root	1788482468.7547	1788482468.8807	copy-root-scripts
sandbox.settings	1788482468.8807	1788482468.9058	write-config-and-settings
sandbox.sidecars	1788482468.9058	1788482469.7342	gen-sidecars
sandbox	1788482468.6574	1788482469.7342	TOTAL
case	1788482480.3696	-	12.canonical-fresh-clone-passes
sandbox.hooks	1788482480.3852	1788482480.4767	copy-hooks
sandbox.root	1788482480.4767	1788482480.5965	copy-root-scripts
sandbox.settings	1788482480.5965	1788482480.6216	write-config-and-settings
sandbox.sidecars	1788482480.6216	1788482481.4638	gen-sidecars
sandbox	1788482480.3852	1788482481.4638	TOTAL
case	1788482492.0653	-	13.tamper-canonical-guard-fails
sandbox.hooks	1788482492.0813	1788482492.1766	copy-hooks
sandbox.root	1788482492.1766	1788482492.2979	copy-root-scripts
sandbox.settings	1788482492.2979	1788482492.3227	write-config-and-settings
sandbox.sidecars	1788482492.3227	1788482493.1584	gen-sidecars
sandbox	1788482492.0813	1788482493.1584	TOTAL
case	1788482503.6625	-	14.tamper-canonical-agent-fails
sandbox.hooks	1788482503.6777	1788482503.7716	copy-hooks
sandbox.root	1788482503.7716	1788482503.8867	copy-root-scripts
sandbox.settings	1788482503.8867	1788482503.9106	write-config-and-settings
sandbox.sidecars	1788482503.9106	1788482504.7384	gen-sidecars
sandbox	1788482503.6777	1788482504.7384	TOTAL
case	1788482515.3335	-	14a.tamper-guard-worktree-isolation-fails
sandbox.hooks	1788482515.3488	1788482515.4385	copy-hooks
sandbox.root	1788482515.4385	1788482515.5476	copy-root-scripts
sandbox.settings	1788482515.5476	1788482515.5749	write-config-and-settings
sandbox.sidecars	1788482515.5749	1788482516.4059	gen-sidecars
sandbox	1788482515.3488	1788482516.4059	TOTAL
case	1788482527.0377	-	14b.tamper-reader-teammate-hint-fails
sandbox.hooks	1788482527.0541	1788482527.1448	copy-hooks
sandbox.root	1788482527.1448	1788482527.2614	copy-root-scripts
sandbox.settings	1788482527.2614	1788482527.2860	write-config-and-settings
sandbox.sidecars	1788482527.2860	1788482528.1239	gen-sidecars
sandbox	1788482527.0541	1788482528.1239	TOTAL
case	1788482537.8178	-	14c.chain-entry-missing-fails
sandbox.hooks	1788482537.8322	1788482537.9201	copy-hooks
sandbox.root	1788482537.9201	1788482538.0381	copy-root-scripts
sandbox.settings	1788482538.0381	1788482538.0633	write-config-and-settings
sandbox.sidecars	1788482538.0633	1788482538.8960	gen-sidecars
sandbox	1788482537.8322	1788482538.8960	TOTAL
case	1788482549.4100	-	14d.chain-out-of-order-fails
sandbox.hooks	1788482549.4261	1788482549.5176	copy-hooks
sandbox.root	1788482549.5176	1788482549.6294	copy-root-scripts
sandbox.settings	1788482549.6294	1788482549.6527	write-config-and-settings
sandbox.sidecars	1788482549.6527	1788482550.4908	gen-sidecars
sandbox	1788482549.4261	1788482550.4908	TOTAL
case	1788482560.9764	-	15.inline-shim-replace-fails
sandbox.hooks	1788482560.9919	1788482561.0873	copy-hooks
sandbox.root	1788482561.0873	1788482561.2043	copy-root-scripts
sandbox.settings	1788482561.2043	1788482561.2292	write-config-and-settings
sandbox.sidecars	1788482561.2292	1788482562.0667	gen-sidecars
sandbox	1788482560.9919	1788482562.0667	TOTAL
case	1788482572.9752	-	16.manifest-missing-fails
sandbox.hooks	1788482572.9899	1788482573.0827	copy-hooks
sandbox.root	1788482573.0827	1788482573.1964	copy-root-scripts
sandbox.settings	1788482573.1964	1788482573.2206	write-config-and-settings
sandbox.sidecars	1788482573.2206	1788482574.0519	gen-sidecars
sandbox	1788482572.9899	1788482574.0519	TOTAL
case	1788482584.6200	-	17.manifest-wrong-hash-fails
sandbox.hooks	1788482584.6355	1788482584.7284	copy-hooks
sandbox.root	1788482584.7284	1788482584.8459	copy-root-scripts
sandbox.settings	1788482584.8459	1788482584.8700	write-config-and-settings
sandbox.sidecars	1788482584.8700	1788482585.7001	gen-sidecars
sandbox	1788482584.6355	1788482585.7001	TOTAL
case	1788482599.5356	-	19.git-main-checkout-passes
case	1788482609.1078	-	20.git-worktree-invocation-passes
case	1788482618.2334	-	21.worktree-probe-targets-main-settings
case	1788482629.1013	-	32.git-untracked-ignored-settings-local-fails
case	1788482639.8298	-	33.git-untracked-not-ignored-warns-rc-0
sandbox.hooks	1788482639.8672	1788482639.9590	copy-hooks
sandbox.root	1788482639.9590	1788482640.0720	copy-root-scripts
sandbox.settings	1788482640.0720	1788482640.0956	write-config-and-settings
sandbox.sidecars	1788482640.0956	1788482640.9241	gen-sidecars
sandbox	1788482639.8672	1788482640.9241	TOTAL
case	1788482640.9741	-	22.install-no-python3-refuses
sandbox.hooks	1788482640.9910	1788482641.0850	copy-hooks
sandbox.root	1788482641.0850	1788482641.2039	copy-root-scripts
sandbox.settings	1788482641.2039	1788482641.2289	write-config-and-settings
sandbox.sidecars	1788482641.2289	1788482642.0678	gen-sidecars
sandbox	1788482640.9910	1788482642.0678	TOTAL
case	1788482642.1176	-	23.probe-no-python3-refuses
sandbox.hooks	1788482642.1347	1788482642.2212	copy-hooks
sandbox.root	1788482642.2212	1788482642.3323	copy-root-scripts
sandbox.settings	1788482642.3323	1788482642.3562	write-config-and-settings
sandbox.sidecars	1788482642.3562	1788482643.1879	gen-sidecars
sandbox	1788482642.1347	1788482643.1879	TOTAL
case	1788482643.3674	-	24.install-missing-env-flag-refuses
sandbox.hooks	1788482643.3856	1788482643.4786	copy-hooks
sandbox.root	1788482643.4786	1788482643.5937	copy-root-scripts
sandbox.settings	1788482643.5937	1788482643.6176	write-config-and-settings
sandbox.sidecars	1788482643.6176	1788482644.4635	gen-sidecars
sandbox	1788482643.3856	1788482644.4635	TOTAL
case	1788482644.6240	-	25.install-missing-baseref-refuses
sandbox.hooks	1788482644.6409	1788482644.7338	copy-hooks
sandbox.root	1788482644.7338	1788482644.8545	copy-root-scripts
sandbox.settings	1788482644.8545	1788482644.8792	write-config-and-settings
sandbox.sidecars	1788482644.8792	1788482645.7085	gen-sidecars
sandbox	1788482644.6409	1788482645.7085	TOTAL
case	1788482657.2573	-	26.probe-catches-env-flag-removed-post-install
sandbox.hooks	1788482657.2745	1788482657.3647	copy-hooks
sandbox.root	1788482657.3647	1788482657.4830	copy-root-scripts
sandbox.settings	1788482657.4830	1788482657.5075	write-config-and-settings
sandbox.sidecars	1788482657.5075	1788482658.3475	gen-sidecars
sandbox	1788482657.2745	1788482658.3475	TOTAL
case	1788482669.8668	-	27.probe-catches-baseref-removed-post-install
sandbox.hooks	1788482669.8851	1788482669.9777	copy-hooks
sandbox.root	1788482669.9777	1788482670.0955	copy-root-scripts
sandbox.settings	1788482670.0955	1788482670.1210	write-config-and-settings
sandbox.sidecars	1788482670.1210	1788482670.9513	gen-sidecars
sandbox	1788482669.8851	1788482670.9513	TOTAL
case	1788482682.4696	-	28.both-keys-correct-probe-passes
sandbox.hooks	1788482682.4923	1788482682.5890	copy-hooks
sandbox.root	1788482682.5890	1788482682.7133	copy-root-scripts
sandbox.settings	1788482682.7133	1788482682.7375	write-config-and-settings
sandbox.sidecars	1788482682.7375	1788482683.5644	gen-sidecars
sandbox	1788482682.4923	1788482683.5644	TOTAL
case	1788482693.7600	-	29.secrets-scanner-not-wired-fails
sandbox.hooks	1788482693.7788	1788482693.8788	copy-hooks
sandbox.root	1788482693.8788	1788482694.0043	copy-root-scripts
sandbox.settings	1788482694.0043	1788482694.0292	write-config-and-settings
sandbox.sidecars	1788482694.0292	1788482694.8620	gen-sidecars
sandbox	1788482693.7788	1788482694.8620	TOTAL
case	1788482705.0184	-	30.secrets-scanner-tampered-fails
sandbox.hooks	1788482705.0363	1788482705.1347	copy-hooks
sandbox.root	1788482705.1347	1788482705.2563	copy-root-scripts
sandbox.settings	1788482705.2563	1788482705.2807	write-config-and-settings
sandbox.sidecars	1788482705.2807	1788482706.1149	gen-sidecars
sandbox	1788482705.0363	1788482706.1149	TOTAL
case	1788482717.4564	-	31.secrets-scanner-broken-then-reinstalled-fails
sandbox.hooks	1788482717.4737	1788482717.5695	copy-hooks
sandbox.root	1788482717.5695	1788482717.6939	copy-root-scripts
sandbox.settings	1788482717.6939	1788482717.7203	write-config-and-settings
sandbox.sidecars	1788482717.7203	1788482718.5623	gen-sidecars
sandbox	1788482717.4737	1788482718.5623	TOTAL
case	1788482728.6498	-	31c.dead-secrets-scanner-fails-layer-K
sandbox.hooks	1788482728.6680	1788482728.7633	copy-hooks
sandbox.root	1788482728.7633	1788482728.8905	copy-root-scripts
sandbox.settings	1788482728.8905	1788482728.9166	write-config-and-settings
sandbox.sidecars	1788482728.9166	1788482729.7549	gen-sidecars
sandbox	1788482728.6680	1788482729.7549	TOTAL
case	1788482740.2866	-	34.definition-drift-pair-intact-probe-rc-0
sandbox.hooks	1788482740.3039	1788482740.4007	copy-hooks
sandbox.root	1788482740.4007	1788482740.5159	copy-root-scripts
sandbox.settings	1788482740.5159	1788482740.5405	write-config-and-settings
sandbox.sidecars	1788482740.5405	1788482741.3730	gen-sidecars
sandbox	1788482740.3039	1788482741.3730	TOTAL
case	1788482751.5346	-	35.definition-snapshotter-unwired-fails-layerP
sandbox.hooks	1788482751.5513	1788482751.6454	copy-hooks
sandbox.root	1788482751.6454	1788482751.7593	copy-root-scripts
sandbox.settings	1788482751.7593	1788482751.7836	write-config-and-settings
sandbox.sidecars	1788482751.7836	1788482752.6122	gen-sidecars
sandbox	1788482751.5513	1788482752.6122	TOTAL
case	1788482762.3605	-	36.definition-drift-guard-unwired-fails
sandbox.hooks	1788482762.3780	1788482762.4952	copy-hooks
sandbox.root	1788482762.4952	1788482762.6305	copy-root-scripts
sandbox.settings	1788482762.6305	1788482762.6601	write-config-and-settings
sandbox.sidecars	1788482762.6601	1788482763.4957	gen-sidecars
sandbox	1788482762.3780	1788482763.4957	TOTAL
case	1788482773.5814	-	37.definition-drift-guard-tampered-fails
sandbox.hooks	1788482773.5967	1788482773.6925	copy-hooks
sandbox.root	1788482773.6925	1788482773.8127	copy-root-scripts
sandbox.settings	1788482773.8127	1788482773.8377	write-config-and-settings
sandbox.sidecars	1788482773.8377	1788482774.6683	gen-sidecars
sandbox	1788482773.5967	1788482774.6683	TOTAL
case	1788482784.7775	-	37b.definition-snapshotter-tampered-fails-layerP
sandbox.hooks	1788482784.7943	1788482784.8871	copy-hooks
sandbox.root	1788482784.8871	1788482785.0019	copy-root-scripts
sandbox.settings	1788482785.0019	1788482785.0261	write-config-and-settings
sandbox.sidecars	1788482785.0261	1788482785.8674	gen-sidecars
sandbox	1788482784.7943	1788482785.8674	TOTAL
case	1788482796.3330	-	38.definition-drift-guard-gutted-fails-layerP-canary
sandbox.hooks	1788482796.3487	1788482796.4410	copy-hooks
sandbox.root	1788482796.4410	1788482796.5551	copy-root-scripts
sandbox.settings	1788482796.5551	1788482796.5787	write-config-and-settings
sandbox.sidecars	1788482796.5787	1788482797.4058	gen-sidecars
sandbox	1788482796.3487	1788482797.4058	TOTAL
case	1788482807.9197	-	38b.definition-drift-guard-overblocks-fails-layerP-canary
sandbox.hooks	1788482807.9367	1788482808.0227	copy-hooks
sandbox.root	1788482808.0227	1788482808.1381	copy-root-scripts
sandbox.settings	1788482808.1381	1788482808.1631	write-config-and-settings
sandbox.sidecars	1788482808.1631	1788482809.0111	gen-sidecars
sandbox	1788482807.9367	1788482809.0111	TOTAL
case	1788482819.0827	-	39.definition-snapshotter-duplicated-fails
case	1788482822.6883	-	40.definition-drift-guard-suite-passes
sandbox.hooks	1788482822.6938	1788482822.7939	copy-hooks
sandbox.root	1788482822.7939	1788482822.9182	copy-root-scripts
sandbox.settings	1788482822.9182	1788482822.9422	write-config-and-settings
sandbox.sidecars	1788482822.9422	1788482823.7748	gen-sidecars
sandbox	1788482822.6938	1788482823.7748	TOTAL
case	1788482834.2540	-	41.reaper-chain-intact-probe-rc-0
sandbox.hooks	1788482834.2704	1788482834.3584	copy-hooks
sandbox.root	1788482834.3584	1788482834.4675	copy-root-scripts
sandbox.settings	1788482834.4675	1788482834.4913	write-config-and-settings
sandbox.sidecars	1788482834.4913	1788482835.3124	gen-sidecars
sandbox	1788482834.2704	1788482835.3124	TOTAL
case	1788482842.0636	-	42.reaper-wrapper-unwired-fails-layerQ
sandbox.hooks	1788482842.0810	1788482842.1706	copy-hooks
sandbox.root	1788482842.1706	1788482842.2877	copy-root-scripts
sandbox.settings	1788482842.2877	1788482842.3123	write-config-and-settings
sandbox.sidecars	1788482842.3123	1788482843.1499	gen-sidecars
